영업소코드,영업소명,연월,차종,교통량
191,경기광주,2014-01,6종,49243
192,곤지암,2014-01,1종,743709
192,곤지암,2014-01,2종,63667
192,곤지암,2014-01,3종,40837
192,곤지암,2014-01,4종,30779
192,곤지암,2014-01,5종,16249
192,곤지암,2014-01,6종,42358
193,일죽,2014-01,1종,390302
193,일죽,2014-01,2종,33900
193,일죽,2014-01,3종,33780
193,일죽,2014-01,4종,25924
193,일죽,2014-01,5종,15254
193,일죽,2014-01,6종,16678
194,서이천,2014-01,1종,474452
194,서이천,2014-01,2종,60067
194,서이천,2014-01,3종,45615
194,서이천,2014-01,4종,30514
194,서이천,2014-01,5종,11168
194,서이천,2014-01,6종,27188
195,대소,2014-01,1종,279952
195,대소,2014-01,2종,39246
195,대소,2014-01,3종,37781
195,대소,2014-01,4종,29557
195,대소,2014-01,5종,19629
195,대소,2014-01,6종,12917
196,진천,2014-01,1종,228129
196,진천,2014-01,2종,16313
196,진천,2014-01,3종,18618
196,진천,2014-01,4종,15303
196,진천,2014-01,5종,15146
196,진천,2014-01,6종,9598
197,증평,2014-01,1종,349049
197,증평,2014-01,2종,21255
197,증평,2014-01,3종,22502
197,증평,2014-01,4종,15573
197,증평,2014-01,5종,16451
197,증평,2014-01,6종,14675
198,서청주,2014-01,1종,746553
198,서청주,2014-01,2종,31745
198,서청주,2014-01,3종,42092
198,서청주,2014-01,4종,28154
198,서청주,2014-01,5종,20372
198,서청주,2014-01,6종,36597
199,오창,2014-01,1종,479520
199,오창,2014-01,2종,19995
199,오창,2014-01,3종,27625
199,오창,2014-01,4종,17044
199,오창,2014-01,5종,15281
199,오창,2014-01,6종,23797
200,금산,2014-01,1종,132181
200,금산,2014-01,2종,3396
200,금산,2014-01,3종,5506
200,금산,2014-01,4종,4286
200,금산,2014-01,5종,6107
200,금산,2014-01,6종,5402
201,칠곡,2014-01,1종,570795
201,칠곡,2014-01,2종,20983
201,칠곡,2014-01,3종,19000
201,칠곡,2014-01,4종,7330
201,칠곡,2014-01,5종,12155
201,칠곡,2014-01,6종,28799
202,다부,2014-01,1종,108580
202,다부,2014-01,2종,7051
202,다부,2014-01,3종,4306
202,다부,2014-01,4종,2172
202,다부,2014-01,5종,4975
202,다부,2014-01,6종,4220
203,가산,2014-01,1종,490015
203,가산,2014-01,2종,19822
203,가산,2014-01,3종,16752
203,가산,2014-01,4종,12773
203,가산,2014-01,5종,29227
203,가산,2014-01,6종,21675
204,추부,2014-01,1종,153017
204,추부,2014-01,2종,7235
204,추부,2014-01,3종,6887
204,추부,2014-01,4종,4156
204,추부,2014-01,5종,3775
204,추부,2014-01,6종,8296
205,군위,2014-01,1종,133574
205,군위,2014-01,2종,5411
205,군위,2014-01,3종,3698
205,군위,2014-01,4종,2587
205,군위,2014-01,5종,9185
205,군위,2014-01,6종,5888
206,의성,2014-01,1종,159665
206,의성,2014-01,2종,4282
206,의성,2014-01,3종,3814
206,의성,2014-01,4종,1730
206,의성,2014-01,5종,3163
206,의성,2014-01,6종,5507
207,남안동,2014-01,1종,270329
207,남안동,2014-01,2종,7533
207,남안동,2014-01,3종,5169
207,남안동,2014-01,4종,3855
207,남안동,2014-01,5종,5026
207,남안동,2014-01,6종,9494
208,서안동,2014-01,1종,189252
208,서안동,2014-01,2종,6041
208,서안동,2014-01,3종,15004
208,서안동,2014-01,4종,2885
208,서안동,2014-01,5종,4832
208,서안동,2014-01,6종,6359
209,예천,2014-01,1종,23167
209,예천,2014-01,2종,395
209,예천,2014-01,3종,515
209,예천,2014-01,4종,188
209,예천,2014-01,5종,497
209,예천,2014-01,6종,863
210,영주,2014-01,1종,131206
210,영주,2014-01,2종,4382
210,영주,2014-01,3종,8387
210,영주,2014-01,4종,2555
210,영주,2014-01,5종,9563
210,영주,2014-01,6종,4451
211,풍기,2014-01,1종,188198
211,풍기,2014-01,2종,5660
211,풍기,2014-01,3종,14140
211,풍기,2014-01,4종,3409
211,풍기,2014-01,5종,6023
211,풍기,2014-01,6종,6477
212,북수원,2014-01,1종,1159810
212,북수원,2014-01,2종,38599
212,북수원,2014-01,3종,50838
212,북수원,2014-01,4종,24244
212,북수원,2014-01,5종,14629
212,북수원,2014-01,6종,70771
213,부곡,2014-01,1종,343318
213,부곡,2014-01,2종,10060
213,부곡,2014-01,3종,7326
213,부곡,2014-01,4종,12857
213,부곡,2014-01,5종,63731
213,부곡,2014-01,6종,24217
214,동군포,2014-01,1종,180179
214,동군포,2014-01,2종,20203
214,동군포,2014-01,3종,11441
214,동군포,2014-01,4종,26479
214,동군포,2014-01,5종,13536
214,동군포,2014-01,6종,13175
215,군포,2014-01,1종,941034
215,군포,2014-01,2종,48026
215,군포,2014-01,3종,37177
215,군포,2014-01,4종,18699
215,군포,2014-01,5종,24046
215,군포,2014-01,6종,72444
216,횡성,2014-01,1종,173396
216,횡성,2014-01,2종,6004
216,횡성,2014-01,3종,7884
216,횡성,2014-01,4종,2986
216,횡성,2014-01,5종,3912
216,횡성,2014-01,6종,7956
217,북원주,2014-01,1종,65243
217,북원주,2014-01,2종,4911
217,북원주,2014-01,3종,3628
217,북원주,2014-01,4종,1760
217,북원주,2014-01,5종,1797
217,북원주,2014-01,6종,4286
218,남원주,2014-01,1종,507425
218,남원주,2014-01,2종,16682
218,남원주,2014-01,3종,32706
218,남원주,2014-01,4종,14814
218,남원주,2014-01,5종,15389
218,남원주,2014-01,6종,25566
219,신림,2014-01,1종,78294
219,신림,2014-01,2종,2217
219,신림,2014-01,3종,2566
219,신림,2014-01,4종,2054
219,신림,2014-01,5종,3803
219,신림,2014-01,6종,3251
220,덕평휴게소,2014-01,1종,923
220,덕평휴게소,2014-01,2종,30
220,덕평휴게소,2014-01,3종,14
220,덕평휴게소,2014-01,4종,0
220,덕평휴게소,2014-01,5종,0
220,덕평휴게소,2014-01,6종,98
221,생초,2014-01,1종,60975
221,생초,2014-01,2종,2177
221,생초,2014-01,3종,2467
221,생초,2014-01,4종,1531
221,생초,2014-01,5종,6465
221,생초,2014-01,6종,2064
222,산청,2014-01,1종,50545
222,산청,2014-01,2종,1555
222,산청,2014-01,3종,1936
222,산청,2014-01,4종,799
222,산청,2014-01,5종,1328
222,산청,2014-01,6종,2028
223,단성,2014-01,1종,102556
223,단성,2014-01,2종,2663
223,단성,2014-01,3종,5229
223,단성,2014-01,4종,2719
223,단성,2014-01,5종,3319
223,단성,2014-01,6종,3876
