org,name,mst,effective,source,n,file,건폐율_보전관리,용적률_보전관리,건폐율_생산관리,용적률_생산관리,건폐율_계획관리,용적률_계획관리,건폐율_보전녹지,용적률_보전녹지,건폐율_생산녹지,용적률_생산녹지,건폐율_자연녹지,용적률_자연녹지,건폐율_농림,용적률_농림,건폐율_자연환경보전,용적률_자연환경보전,경사도_도,표고_m,입목축적_pct
강원특별자치도 태백시,태백시 도시계획 조례,2110049,20260213,web-html,29,강원특별자치도_태백시_태백시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,22,,150
강원특별자치도 평창군,평창군 군계획 조례,1979117,20241025,web-html,34,강원특별자치도_평창군_평창군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,30,120,20,80,25,,150
강원특별자치도 홍천군,홍천군 군계획 조례,2121139,20260410,web-html,42,강원특별자치도_홍천군_홍천군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,150
강원특별자치도 화천군,화천군 군계획 조례,2117227,20260327,web-html,25,강원특별자치도_화천군_화천군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,150
강원특별자치도 횡성군,횡성군 군계획 조례,2125215,20260416,web-html,28,강원특별자치도_횡성군_횡성군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,,150
경기도,경기도 도시계획 조례,2136213,20260629,web-html,3,경기도_경기도_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
경기도 가평군,가평군 군계획 조례,2124585,20260420,web-html,39,경기도_가평군_가평군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,,20,,25,,150
경기도 고양시,고양시 도시계획 조례,2086131,20251114,web-html,31,경기도_고양시_고양시_도시계획_조례.json,20,80,20,80,40,100,20,50,20,90,20,100,20,80,20,,15,,
경기도 과천시,과천시 도시계획 조례,2078539,20251010,web-html,18,경기도_과천시_과천시_도시계획_조례.json,,,,,,,20,50,,,20,60,,,,,15,30,
경기도 광명시,광명시 도시계획 조례,2157445,20260805,web-html,15,경기도_광명시_광명시_도시계획_조례.json,,,,,,,20,50,20,100,20,80,,,,,,,
경기도 광주시,광주시 도시계획 조례,2123363,20260415,web-html,48,경기도_광주시_광주시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,80,20,100,20,50,20,50,20,50,150
경기도 구리시,구리시 도시계획 조례,2089953,20251202,web-html,29,경기도_구리시_구리시_도시계획_조례.json,,,,,,,20,80,,,20,100,,,,,21,,
경기도 군포시,군포시 도시계획 조례,2077621,20251010,web-html,22,경기도_군포시_군포시_도시계획_조례.json,,,,,,,,,,,,,,,,,15,100,
경기도 김포시,김포시 도시계획 조례,2036273,20250512,web-html,19,경기도_김포시_김포시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,18,,150
경기도 남양주시,남양주시 도시계획 조례,2099095,20251229,web-html,38,경기도_남양주시_남양주시_도시계획_조례.json,20,60,20,80,40,100,20,80,20,100,20,100,20,60,20,60,,,
경기도 동두천시,동두천시 도시계획 조례,2127631,20260506,web-html,21,경기도_동두천시_동두천시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,23,,
경기도 부천시,부천시 도시계획 조례,2144525,20260706,web-html,25,경기도_부천시_부천시_도시계획_조례.json,,,,,,,20,50,20,50,20,80,,,,,15,75,50
경기도 성남시,성남시 도시계획 조례,2111431,20260224,web-html,13,경기도_성남시_성남시_도시계획_조례.json,,,,,,,20,70,20,50,20,100,,,,,15,,100
경기도 수원시,수원시 도시계획 조례,2102141,20251231,web-html,29,경기도_수원시_수원시_도시계획_조례.json,,,,,,,20,50,20,100,20,100,,,,,10,100,
경기도 시흥시,시흥시 도시계획 조례,2164147,20260820,web-html,11,경기도_시흥시_시흥시_도시계획_조례.json,,,,,,,20,80,,,20,100,,,,,17,,130
경기도 안산시,안산시 도시계획 조례,2067975,20250919,web-html,29,경기도_안산시_안산시_도시계획_조례.json,,,,,,,20,50,20,80,20,80,,,20,50,17,40,130
경기도 안성시,안성시 도시계획 조례,2121099,20260410,web-html,26,경기도_안성시_안성시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,150
경기도 안양시,안양시 도시계획 조례,2117933,20260331,web-html,7,경기도_안양시_안양시_도시계획_조례.json,,,,,,,20,50,,,20,80,,,,,18,110,120
경기도 양주시,양주시 도시계획 조례,2088967,20251124,web-html,26,경기도_양주시_양주시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,21,,
